2025-06-17 14:43:09.715 | INFO     | __main__:<module>:106 - 执行全量数据更新...
2025-06-17 14:43:09.735 | INFO     | data_collection.market_data.baostock_api:_login:43 - BaoStock登录成功
2025-06-17 14:43:09.735 | INFO     | __main__:update_stock_basic_info:22 - 开始更新股票基本信息...
2025-06-17 14:43:09.735 | INFO     | data_collection.market_data.baostock_api:get_stock_basic_info:82 - 开始获取股票基本信息，日期: 2025-06-17
2025-06-17 14:43:09.741 | INFO     | data_collection.market_data.baostock_api:get_stock_basic_info:99 - 获取股票基本信息成功，共0只股票
2025-06-17 14:43:09.742 | WARNING  | __main__:update_stock_basic_info:28 - 未能获取到股票基本信息，请检查网络或BaoStock API状态
2025-06-17 14:43:09.756 | INFO     | data_collection.market_data.baostock_api:logout:56 - BaoStock登出成功
2025-06-17 14:43:09.781 | INFO     | data_collection.market_data.baostock_api:_login:43 - BaoStock登录成功
2025-06-17 14:43:09.781 | INFO     | __main__:update_stock_history_data:58 - 开始全量更新所有股票的历史K线数据，起始日期: 2015-01-01...
2025-06-17 14:43:09.781 | ERROR    | database.db_utils:get_session:92 - 数据库操作失败: 'StockDataDAO' object has no attribute 'models'
2025-06-17 14:43:09.781 | ERROR    | __main__:update_stock_history_data:93 - 更新所有股票历史数据失败: 'StockDataDAO' object has no attribute 'models'
2025-06-17 14:43:09.789 | INFO     | data_collection.market_data.baostock_api:logout:56 - BaoStock登出成功
2025-06-17 14:43:09.789 | INFO     | __main__:<module>:111 - 全量数据更新完成.
